key,utility,usability,interface,relevance,response_time,quality,use?,recommend?,overall,num_liked,,,,,,,,,,,,
h837218,movierecommender,4,3,High,Neutral,Good,Yes,Yes,9,8,,,usability,interface,overall,num_liked,,,,,,
h565367,movierecommender,4,4,Medium,Neutral,Good,Yes,Yes,8,8,,movierecommender,4,2.8,7.6,6.5,,,,,,
h175358,movierecommender,4,1,Low,Neutral,Average,No,No,7,5,,pickamovie,4.1,4.2,7.2,6.3,,,,,,
h144731,movierecommender,4,2,Medium,Neutral,Bad,No,No,7,6,,suggestmemovie,4.1,4.3,7.8,7.4,,,,,,
h942433,movierecommender,4,4,Medium,Neutral,Good,Yes,Yes,8,7,,Relevant Recommendations,High,Medium,Low,,,,,,,
h883065,movierecommender,4,2,Medium,Fast,Good,Yes,Yes,8,7,,movierecommender,1,7,2,,,,,,,
h564168,movierecommender,4,4,Medium,Neutral,Average,No,No,6,5,,pickamovie,1,7,2,,,,,,,
h429917,movierecommender,4,4,Medium,Fast,Good,Yes,No,8,7,,suggestmemovie,2,6,2,,,,,,,
h612634,movierecommender,4,3,Low,Fast,Bad,No,No,7,5,,,,,,,,,Quality of Product,Good,Avg,Bad
h696852,movierecommender,4,1,Medium,Fast,Good,Yes,Yes,8,7,,Response Time,Fast,Neutral,Slow,,,,movierecommender,6,2,2
h837218,pickamovie,4,5,High,Fast,Good,Yes,Yes,9,8,,movierecommender,4,6,0,,,,pickamovie,6,3,1
h565367,pickamovie,4,4,Medium,Fast,Good,Yes,Yes,8,8,,pickamovie,8,2,0,,,,suggestmemovie,8,2,0
h175358,pickamovie,5,5,Low,Fast,Average,No,No,8,4,,suggestmemovie,10,0,0,,,,,,,
h144731,pickamovie,4,4,Medium,Fast,Bad,Yes,Yes,7,6,,,,,,,,,,,,
h942433,pickamovie,4,4,Medium,Fast,Good,Yes,Yes,7,7,,,,,,,,,,,,
h883065,pickamovie,4,4,Medium,Fast,Good,Yes,Yes,7,6,,,,,,,,,,,,
h564168,pickamovie,4,4,Medium,Neutral,Average,Yes,Yes,6,5,,,,,,,,,,,,
h429917,pickamovie,4,4,Medium,Fast,Good,Yes,Yes,7,7,,,,,,,,,,,,
h612634,pickamovie,4,4,Medium,Neutral,Good,Yes,Yes,8,7,,,,,,,,,,,,
h696852,pickamovie,4,4,Low,Fast,Average,Yes,No,5,5,,,,,,,,,,,,
h837218,suggestmemovie,4,5,High,Fast,Good,Yes,Yes,9,8,,,,,,,,,,,,
h565367,suggestmemovie,4,4,Medium,Fast,Good,Yes,Yes,8,8,,,,,,,,,,,,
h175358,suggestmemovie,4,5,Low,Fast,Good,Yes,Yes,9,7,,,,,,,,,,,,
h144731,suggestmemovie,4,4,Medium,Fast,Good,Yes,Yes,7,7,,,,,,,,,,,,
h942433,suggestmemovie,4,4,High,Fast,Good,Yes,Yes,8,8,,,,,,,,,,,,
h883065,suggestmemovie,4,4,Medium,Fast,Good,Yes,Yes,8,8,,,,,,,,,,,,
h564168,suggestmemovie,5,5,Medium,Fast,Average,Yes,Yes,8,8,,,,,,,,,,,,
h429917,suggestmemovie,4,4,Medium,Fast,Good,Yes,Yes,7,7,,,,,,,,,,,,
h612634,suggestmemovie,4,4,Low,Fast,Average,No,No,6,6,,,,,,,,,,,,
h696852,suggestmemovie,4,4,Medium,Fast,Good,Yes,No,8,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,Use,Willing to use tool in future,Willing to recommend to friends,,,,,
,,,,,,,,,,,,,,,movierecommender,6,5,,,,,
,,,,,,,,,,,,,,,pickamovie,8,8,,,,,
,,,,,,,,,,,,,,,suggestmemovie,9,8,,,,,
